,peak_0-1,peak_0-2,peak_0-3,peak_1-2,peak_1-3,peak_2-3,cov_0,cov_1,cov_2,cov_3,rasterfile
mGE82-O10C2-Standard-03,3.2573410949008927,6.677855844872081,5.232789357045112,3.420514749971188,8.490130451946005,11.910645201917193,[[0.12399954]],[[0.12399954]],[[0.12399954]],[[0.12399954]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_03.png
mGE82-O10C2-Standard-04,15.5007411952246,2.187861982121568,4.322842879544597,13.312879213103033,11.177898315680004,2.134980897423029,[[0.23946727]],[[0.23946727]],[[0.23946727]],[[0.23946727]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_04.png
mGE82-O10C2-Standard-05,4.350224244914095,1.9012747210387708,3.0426418494889838,2.4489495238753243,1.3075823954251113,1.141367128450213,[[0.21453198]],[[0.21453198]],[[0.21453198]],[[0.21453198]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_05.png
mGE82-O10C2-Standard-06,11.119317819467252,1.9105311407650873,6.577680975196378,9.208786678702165,4.541636844270873,4.6671498344312905,[[0.35476572]],[[0.35476572]],[[0.35476572]],[[0.35476572]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_06.png
mGE82-O10C2-Standard-07,4.910530217618568,1.2960466258756451,1.812248301931625,3.614483591742923,6.722778519550193,3.10829492780727,[[0.36634244]],[[0.36634244]],[[0.36634244]],[[0.36634244]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_07.png
mGE82-O10C2-Standard-08,1.89253184467481,3.677898435993047,7.793870411488847,1.7853665913182368,5.901338566814037,4.1159719754958,[[0.36972771]],[[0.36972771]],[[0.36972771]],[[0.36972771]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_08.png
mGE82-O10C2-Standard-09,1.9928208616330068,16.344384810011938,7.017809346333358,14.351563948378931,5.024988484700351,9.32657546367858,[[0.3236627]],[[0.3236627]],[[0.3236627]],[[0.3236627]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_09.png
mGE82-O10C2-Standard-10,1.7677262567744663,7.455398435484854,5.311920041000855,5.687672178710388,3.5441937842263886,2.1434783944839992,[[0.1680638]],[[0.1680638]],[[0.1680638]],[[0.1680638]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_10.png
mGE82-O10C2-Standard-11,12.518839052008635,8.346407567953978,4.658335763621153,4.172431484054657,7.860503288387482,3.688071804332825,[[0.13801106]],[[0.13801106]],[[0.13801106]],[[0.13801106]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_11.png
mGE82-O10C2-Standard-27,15.70683926741045,4.792137717580466,2.520142046066188,10.914701549829985,13.18669722134426,2.2719956715142775,[[0.29126579]],[[0.29126579]],[[0.29126579]],[[0.29126579]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_27.png
mGE82-O10C2-Standard-28,2.629401011519999,16.473506407882915,11.089822829417265,13.844105396362917,8.460421817897267,5.38368357846565,[[0.33057847]],[[0.33057847]],[[0.33057847]],[[0.33057847]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_28.png
mGE82-O10C2-Standard-29,13.720845235203717,16.76400642042602,2.7226741495677853,3.0431611852223046,10.998171085635931,14.041332270858236,[[0.31396127]],[[0.31396127]],[[0.31396127]],[[0.31396127]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_29.png
mGE82-O10C2-Standard-30,16.7131422136359,13.633393766659863,4.884695705992513,3.079748446976038,11.828446507643388,8.74869806066735,[[0.31107925]],[[0.31107925]],[[0.31107925]],[[0.31107925]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_30.png
mGE82-O10C2-Standard-31,10.979816797025222,16.434894362084272,3.073200761491817,5.4550775650590495,7.906616035533405,13.361693600592455,[[0.28771278]],[[0.28771278]],[[0.28771278]],[[0.28771278]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_31.png
mGE82-O10C2-Predeviant-05,6.008747361866963,10.130221855797558,2.2358570045468156,4.121474493930595,3.772890357320147,7.894364851250742,[[0.07799701]],[[0.07799701]],[[0.07799701]],[[0.07799701]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_05.png
mGE82-O10C2-Predeviant-06,4.523099941419497,2.1005397631079354,7.181966322711043,2.422560178311562,2.6588663812915456,5.081426559603107,[[0.2143034]],[[0.2143034]],[[0.2143034]],[[0.2143034]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_06.png
mGE82-O10C2-Predeviant-07,2.182201671072047,1.6832013364210798,9.083489110022107,3.8654030074931267,11.265690781094154,7.400287773601028,[[0.13908414]],[[0.13908414]],[[0.13908414]],[[0.13908414]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_07.png
mGE82-O10C2-Predeviant-08,2.4073851604316445,5.342160663598433,13.840408539070717,2.9347755031667884,11.433023378639072,8.498247875472284,[[0.18563101]],[[0.18563101]],[[0.18563101]],[[0.18563101]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_08.png
mGE82-O10C2-Predeviant-09,2.0039480281273647,12.169691841627104,6.674075807367796,10.16574381349974,4.670127779240431,5.495616034259308,[[0.16668816]],[[0.16668816]],[[0.16668816]],[[0.16668816]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_09.png
mGE82-O10C2-Predeviant-10,7.41263230419975,2.5747137002653453,3.463053322969275,4.837918603934405,3.9495789812304753,0.8883396227039295,[[0.04939424]],[[0.04939424]],[[0.04939424]],[[0.04939424]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_10.png
mGE82-O10C2-Predeviant-27,12.894384092830636,4.135215638585358,7.084947704466206,8.75916845424528,5.80943638836443,2.9497320658808492,[[0.14004449]],[[0.14004449]],[[0.14004449]],[[0.14004449]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_27.png
mGE82-O10C2-Predeviant-28,8.663695800707544,14.814518041068332,4.931604560086165,6.150822240360791,3.7320912406213775,9.882913480982168,[[0.17260991]],[[0.17260991]],[[0.17260991]],[[0.17260991]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_28.png
mGE82-O10C2-Predeviant-29,13.104491183553957,9.188907565361365,3.665369332329468,3.915583618192594,9.43912185122449,5.523538233031896,[[0.1689076]],[[0.1689076]],[[0.1689076]],[[0.1689076]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_29.png
mGE82-O10C2-Predeviant-30,13.616606171272007,3.7443230369365583,8.995137995595707,9.872283134335449,4.6214681756763,5.250814958659149,[[0.16193972]],[[0.16193972]],[[0.16193972]],[[0.16193972]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_30.png
mGE82-O10C2-Predeviant-31,10.303455736117943,3.0846265047887824,6.80804560175281,7.2188292313291615,3.495410134365134,3.7234190969640277,[[0.17147673]],[[0.17147673]],[[0.17147673]],[[0.17147673]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_31.png
mGE82-O10C2-Predeviant-32,14.80821278739786,10.637084627249632,3.882251373571373,4.171128160148227,10.925961413826487,6.754833253678259,[[0.19789751]],[[0.19789751]],[[0.19789751]],[[0.19789751]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_32.png
mGE82-O10C2-Deviant-05,12.45490056850305,4.257003901060752,5.566758714090218,8.197896667442297,6.88814185441283,1.3097548130294658,[[0.14352604]],[[0.14352604]],[[0.14352604]],[[0.14352604]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_05.png
mGE82-O10C2-Deviant-06,12.696874288799616,9.706385707218,8.011552342298494,2.9904885815816176,4.685321946501125,1.694833364919507,[[0.13589612]],[[0.13589612]],[[0.13589612]],[[0.13589612]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_06.png
mGE82-O10C2-Deviant-07,14.151272129785895,3.426320938923771,4.417691966595568,10.724951190862122,9.733580163190325,0.9913710276717964,[[0.16844304]],[[0.16844304]],[[0.16844304]],[[0.16844304]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_07.png
mGE82-O10C2-Deviant-08,2.5272080295521704,5.6317059923407555,13.626447559405818,3.104497962788585,11.099239529853648,7.994741567065062,[[0.21798562]],[[0.21798562]],[[0.21798562]],[[0.21798562]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_08.png
mGE82-O10C2-Deviant-09,11.901149003417268,5.938551555455325,2.710145426581457,5.962597447961944,9.191003576835811,3.2284061288738677,[[0.13612619]],[[0.13612619]],[[0.13612619]],[[0.13612619]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_09.png
mGE82-O10C2-Deviant-10,3.381262102504218,6.53547904239859,1.9067314658464767,3.154216939894372,1.4745306366577413,4.628747576552113,[[0.05178961]],[[0.05178961]],[[0.05178961]],[[0.05178961]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_10.png
mGE82-O10C2-Deviant-27,10.494690893937577,6.890149657305053,4.919921875000681,3.6045412366325245,5.574769018936896,1.970227782304372,[[0.10755266]],[[0.10755266]],[[0.10755266]],[[0.10755266]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_27.png
mGE82-O10C2-Deviant-28,8.139647218813687,13.984049202341415,2.699680561862845,5.844401983527728,5.439966656950842,11.28436864047857,[[0.18947711]],[[0.18947711]],[[0.18947711]],[[0.18947711]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_28.png
mGE82-O10C2-Deviant-29,3.696948923151824,14.46536401298971,11.123224042592895,10.768415089837884,7.426275119441071,3.342139970396814,[[0.1975061]],[[0.1975061]],[[0.1975061]],[[0.1975061]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_29.png
mGE82-O10C2-Deviant-30,14.070018056250769,8.589091612697977,3.591252825007194,5.480926443552791,10.478765231243575,4.9978387876907835,[[0.1915871]],[[0.1915871]],[[0.1915871]],[[0.1915871]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_30.png
mGE82-O10C2-Deviant-31,11.417426599327118,4.918061011162958,14.249469302541145,6.49936558816416,2.832042703214027,9.331408291378187,[[0.18807273]],[[0.18807273]],[[0.18807273]],[[0.18807273]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_31.png
mGE82-O10C2-Deviant-32,10.372407775191883,14.961244655982853,4.353294553778403,4.58883688079097,6.01911322141348,10.60795010220445,[[0.19717439]],[[0.19717439]],[[0.19717439]],[[0.19717439]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_32.png
mGE82-O10C2-Postdeviant-05,1.4733676073336373,6.186989786158463,2.708865297674823,7.6603573934921005,4.18223290500846,3.4781244884836404,[[0.07982291]],[[0.07982291]],[[0.07982291]],[[0.07982291]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_05.png
mGE82-O10C2-Postdeviant-06,9.01971915320783,4.9512214141853494,1.9700805627255278,4.068497739022481,10.989799715933358,6.921301976910877,[[0.17255347]],[[0.17255347]],[[0.17255347]],[[0.17255347]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_06.png
mGE82-O10C2-Postdeviant-07,1.446720719341652,4.942971768583618,2.9815335259369498,3.496251049241966,1.5348128065952977,1.9614382426466683,[[0.18233815]],[[0.18233815]],[[0.18233815]],[[0.18233815]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_07.png
mGE82-O10C2-Postdeviant-08,8.103775602016068,2.044701345859533,4.494907876646426,6.059074256156535,3.6088677253696417,2.450206530786893,[[0.20827916]],[[0.20827916]],[[0.20827916]],[[0.20827916]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_08.png
mGE82-O10C2-Postdeviant-09,1.8833662722287698,10.35412908047393,6.053445420395626,8.47076280824516,4.170079148166856,4.300683660078304,[[0.13407686]],[[0.13407686]],[[0.13407686]],[[0.13407686]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_09.png
mGE82-O10C2-Postdeviant-27,8.42177788148566,11.575519036328478,5.665777452555469,3.1537411548428174,2.756000428930191,5.909741583773009,[[0.13376049]],[[0.13376049]],[[0.13376049]],[[0.13376049]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_27.png
mGE82-O10C2-Postdeviant-28,3.2644679789970814,11.906190339030719,5.095908472465061,15.170658318027801,8.360376451462143,6.810281866565658,[[0.20163803]],[[0.20163803]],[[0.20163803]],[[0.20163803]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_28.png
mGE82-O10C2-Postdeviant-29,12.523922666093126,4.2677890569670325,7.541629226868972,8.256133609126094,4.982293439224154,3.2738401699019395,[[0.16767513]],[[0.16767513]],[[0.16767513]],[[0.16767513]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_29.png
mGE82-O10C2-Postdeviant-30,14.007598638156848,9.886195403501029,4.03046975239026,4.121403234655819,9.977128885766586,5.855725651110768,[[0.18515426]],[[0.18515426]],[[0.18515426]],[[0.18515426]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_30.png
mGE82-O10C2-Postdeviant-31,11.72459904171654,4.326561798691694,6.142714512300985,7.398037243024847,5.5818845294155555,1.8161527136092914,[[0.12168668]],[[0.12168668]],[[0.12168668]],[[0.12168668]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_31.png
mGE82-O10C2-Postdeviant-32,13.820041615529064,4.2383113427537324,7.41242532522206,9.581730272775332,6.407616290307004,3.1741139824683273,[[0.17102575]],[[0.17102575]],[[0.17102575]],[[0.17102575]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Postdeviant_ElectrodeChannel_32.png
mGE83-O10C2-Standard-02,9.404791096082215,3.8092281370230427,2.4408111673057356,5.595562959059173,6.96397992877648,1.3684169697173072,[[0.17766183]],[[0.17766183]],[[0.17766183]],[[0.17766183]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_02.png
mGE83-O10C2-Standard-03,10.343585947880268,5.487705511283831,4.332831204135962,4.855880436596436,6.010754743744306,1.1548743071478693,[[0.27880586]],[[0.27880586]],[[0.27880586]],[[0.27880586]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_03.png
mGE83-O10C2-Standard-04,1.2454037950046146,4.005239435610886,5.455364604816589,5.2506432306155,6.700768399821204,1.4501251692057036,[[0.22750117]],[[0.22750117]],[[0.22750117]],[[0.22750117]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_04.png
mGE83-O10C2-Standard-05,1.1014407640984807,3.175211536701207,5.595611709562652,4.276652300799688,6.697052473661133,2.420400172861445,[[0.35693802]],[[0.35693802]],[[0.35693802]],[[0.35693802]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_05.png
mGE83-O10C2-Standard-06,1.3272339027268965,3.8266308987912403,5.193084422835943,5.153864801518137,6.520318325562839,1.3664535240447027,[[0.23663074]],[[0.23663074]],[[0.23663074]],[[0.23663074]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_06.png
mGE83-O10C2-Standard-07,1.2375252902963183,5.442240903069399,8.950248461194889,4.2047156127730805,7.71272317089857,3.50800755812549,[[0.42413355]],[[0.42413355]],[[0.42413355]],[[0.42413355]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_07.png
mGE83-O10C2-Standard-08,5.252676716227056,0.9228142526358578,3.888901879070888,4.329862463591198,1.3637748371561678,2.96608762643503,[[0.31948651]],[[0.31948651]],[[0.31948651]],[[0.31948651]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_08.png
mGE83-O10C2-Standard-09,0.4184954493328732,3.6620748901934093,1.9668702495020103,3.243579440860536,1.548374800169137,1.695204640691399,[[0.32660059]],[[0.32660059]],[[0.32660059]],[[0.32660059]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_09.png
mGE83-O10C2-Standard-10,1.1070789930656098,4.625351883705095,1.9579155860759627,3.5182728906394853,0.850836593010353,2.6674362976291324,[[0.18802294]],[[0.18802294]],[[0.18802294]],[[0.18802294]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_10.png
mGE83-O10C2-Standard-27,15.970565266938735,13.003623955093403,3.4650808715501267,2.966941311845332,12.505484395388608,9.538543083543276,[[0.29356466]],[[0.29356466]],[[0.29356466]],[[0.29356466]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_27.png
mGE83-O10C2-Standard-28,16.469674308479444,13.722244328527603,5.248869675652244,2.747429979951841,11.2208046328272,8.473374652875359,[[0.34101152]],[[0.34101152]],[[0.34101152]],[[0.34101152]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_28.png
mGE83-O10C2-Standard-29,16.181657640604417,3.3247662223591457,11.747746270871119,12.856891418245272,4.4339113697333,8.422980048511974,[[0.30433393]],[[0.30433393]],[[0.30433393]],[[0.30433393]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_29.png
mGE83-O10C2-Standard-30,14.857763061677598,12.194977531074576,9.321402794234185,2.6627855306030233,5.536360267443413,2.87357473684039,[[0.22845037]],[[0.22845037]],[[0.22845037]],[[0.22845037]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_30.png
mGE83-O10C2-Standard-31,2.2244077782871017,13.453664852683378,4.107037859993577,11.229257074396276,1.8826300817064752,9.346626992689803,[[0.30903887]],[[0.30903887]],[[0.30903887]],[[0.30903887]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_31.png
mGE83-O10C2-Predeviant-03,5.4505360460189465,1.0234841960184582,9.577993656053975,6.474020242037405,4.127457610035028,10.601477852072433,[[0.1332759]],[[0.1332759]],[[0.1332759]],[[0.1332759]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_03.png
mGE83-O10C2-Predeviant-04,1.274929616523611,3.5998449007666,1.1469506803333385,4.874774517290211,2.4218802968569495,2.4528942204332616,[[0.15452118]],[[0.15452118]],[[0.15452118]],[[0.15452118]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_04.png
mGE83-O10C2-Predeviant-05,1.2637912493164656,5.478050418605276,4.14084478299587,6.741841667921742,5.404636032312336,1.337205635609406,[[0.20412313]],[[0.20412313]],[[0.20412313]],[[0.20412313]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_05.png
mGE83-O10C2-Predeviant-06,1.3544393116136266,3.803067147570296,5.1976832646437625,5.157506459183923,6.552122576257389,1.3946161170734666,[[0.15384365]],[[0.15384365]],[[0.15384365]],[[0.15384365]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_06.png
mGE83-O10C2-Predeviant-07,1.4210796397815457,5.405276037138869,8.554780947509979,3.984196397357323,7.133701307728433,3.1495049103711104,[[0.25410865]],[[0.25410865]],[[0.25410865]],[[0.25410865]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_07.png
mGE83-O10C2-Predeviant-08,0.9508905234135838,5.3347849661001,4.049762459503333,4.3838944426865165,3.0988719360897488,1.2850225065967678,[[0.17050296]],[[0.17050296]],[[0.17050296]],[[0.17050296]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_08.png
mGE83-O10C2-Predeviant-09,1.2978452244900893,4.178055110279146,5.3089032177813955,2.880209885789057,4.011057993291306,1.1308481075022492,[[0.15096176]],[[0.15096176]],[[0.15096176]],[[0.15096176]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_09.png
mGE83-O10C2-Predeviant-10,1.2553189541315088,4.476673454613568,8.33712550601717,3.221354500482059,7.081806551885661,3.860452051403602,[[0.07999468]],[[0.07999468]],[[0.07999468]],[[0.07999468]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_10.png
